sbd,ten,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd
1000102,Samuel,8.8,7.25,9,4.75,8,8,,,
1000103,Charlotte,8.4,8.5,7,8.5,8.75,6.5,,,
1000104,Evelyn,7.2,8.5,9,,,,7,6.25,8
1000105,James,7,8.5,7,,,,7.75,6.75,8
1000106,Olivia,8.4,5,8.6,5.75,2.25,3.75,,,
1000107,Amelia,7.4,7.5,7.4,5.25,8,3.75,,,
1000108,Noah,8.6,9,9,,,,7,6.5,8.75
1000109,Emily,8.2,,8,6.75,,,,,
1000110,Evelyn,8.6,7.5,8,,,,9.5,6.5,
1000111,Ethan,8.6,9,8.8,,,,6.75,5,7.75
1000112,James,7.2,6.5,9.6,,,,7.75,6.5,8.25
1000113,Henry,9.2,8.75,9.4,,,,8,8,9.25
1000114,Emma,6.4,6.75,,,,,6,6.5,
1000115,Aiden,8.2,7,7.6,4.5,8,5.25,,,
1000116,Lucas,8.2,8,9,,,,9,7.25,9.25
1000117,Oliver,8,8,7.8,,,,7.75,5.25,7.75
1000118,Olivia,7,7.5,8.6,,,,6.25,6.5,8
1000119,Ethan,5,5.25,,,,,7.5,6.5,8
1000120,Lucas,7.2,7.75,8.4,,,,9.25,8.5,8.25
1000121,Samuel,8.2,8.25,8.8,,,,9.25,7.75,9
1000122,Emily,8.6,5.5,8.4,8.75,4.25,4.75,,,
1000123,Charlotte,7,8,4.2,5.5,6,7.25,,,
1000124,Sofia,7.2,6.75,7.4,,,,7,6.75,8
1000125,Mia,4.8,6.25,4.8,,,,5.25,7,6.25
1000126,Elijah,8.4,7.5,6.4,6.75,3.5,3.75,,,
1000127,Harper,4.6,7.25,4,,,,7.75,7,8.75
1000128,Sofia,,7.75,,,,,8.75,6.5,
1000129,Daniel,8.8,7.5,,6.75,8,4.75,,,
1000130,Ethan,9.4,4.5,7.2,8.75,4.75,4,,,
1000131,Abigail,8.2,6.25,6.2,6,7,3,,,
1000132,Ava,8.6,6,8.4,8,4.5,5,,,
1000133,Lucas,7.4,8.75,8.6,,,,6,7.25,7.75
1000134,Abigail,7,8.5,8.2,,,,7,7.25,8.5
1000135,Amelia,8.6,6.25,8.4,4,8.25,4.25,,,
1000136,Grace,7.6,8,9,,,,7.75,7.25,8.25
1000137,Emma,8.2,7,8,7.75,2.75,4.5,,,
1000138,Amelia,7.8,8.75,9,,,,5.75,7,8
1000139,Jackson,7.6,9.25,8.6,,,,8.25,8,9
1000140,Oliver,5.8,7.5,6.6,,,,7.25,6.5,8.75
1000141,Grace,7,8,7.6,,,,7.5,7,7.5
1000142,Lucas,6.6,8.25,8,,,,5.25,7.25,7.25
1000143,Harper,7.6,8.5,7.6,,,,7.75,7.25,8
1000144,Emily,4,6.75,,,,,2.5,6,
1000145,Liam,7.2,7.5,,,,,7,8.25,8.5
1000146,Sophia,7.6,8.25,7.6,,,,7,8,8
1000147,Liam,6.4,6.75,4,7.25,7.5,4.75,,,
1000148,Lucas,6.8,8.25,9.2,,,,7,7.5,7.5
1000149,Emily,5,8.25,8,,,,,,
1000150,Abigail,5.8,6.25,,,,,4,6.5,
1000151,Jackson,8.6,6,8.2,7.25,5.75,5.25,,,
1000152,Noah,9.2,7.75,8.6,,,,5.25,8.5,8.25
1000153,Chloe,7.2,8.75,6,,,,9,7.75,9.25
1000154,Sophia,7.6,8,5.8,,,,8.5,8,8.5
1000155,Benjamin,5,8.75,8.4,,,,7.75,8.25,8
1000156,Evelyn,8,8.5,8.2,,,,8,6.25,9.25
1000157,Harper,7.6,5,5.2,4.5,7.25,4.75,,,
1000158,Grace,6,6.5,7.4,,,,5.25,5.5,6.75
1000159,Chloe,3.2,7,4,,,,4.25,5.5,7.25
1000160,Noah,7.4,8,8.8,,,,5.5,5.75,8
1000161,Oliver,8.6,8.75,8.6,,,,9,7.5,8.75
1000162,Harper,2.6,6.25,4.6,,,,3.75,4,7.25
1000163,William,8,7,6.8,,,,5,6.5,7.25
1000164,Olivia,6,7.75,6.4,,,,9.75,8,8.25
1000165,Abigail,7.8,8.5,9,,,,6,6.75,8
1000166,Daniel,6.8,7.25,,,,,6.25,6.25,
1000167,Jackson,7.2,7,6.4,,,,3.5,6.75,7.25
1000168,Emily,7.8,8.5,9.6,,,,8.5,7.75,8.75
1000169,Emily,6.6,7.25,8.6,,,,8.75,7.75,8.5
1000170,Daniel,7.4,7,8,,,,,,
1000171,Isabella,7.6,7.5,8.2,,,,8.25,6.5,8.25
1000172,Ava,7.2,8.5,7.8,,,,8,7,8.25
1000173,Charlotte,8.2,7.25,8.8,6.5,7,5.25,,,
1000174,Jackson,5.2,7.5,5,,,,7.75,8,8.75
1000175,Lucas,6.2,8.5,8.6,,,,7.75,7.75,8
1000176,Olivia,8.6,7.25,9.2,9.5,8.25,4.25,,,
1000177,Emily,8.2,8.25,9.6,,,,8.5,8,8.5
1000178,Noah,7,7,8,,,,8,7,8.5
1000179,Benjamin,7.4,6.5,8.6,,,,8.75,7,8.75
1000180,Amelia,4.6,6,3.2,,,,7.25,6.75,9.25
1000181,Charlotte,5,7.25,2.8,,,,6,7,8
1000182,Emily,4,5,,,,,6,7.75,
1000183,Henry,8,5.75,7.6,4.75,8,3.25,,,
1000184,Ethan,7,6.25,6.6,,,,7.25,6,8.25
1000185,Ethan,9.6,7.75,9.2,9.5,8,5.25,,,
1000186,Elijah,9,6.25,9.4,7.75,2.5,4.75,,,
1000187,Sofia,7.4,7.75,7.6,,,,7,7.5,7.75
1000188,James,8,7.75,6,,,,6.5,8.5,7.75
1000189,Elijah,8.6,8,7,,,,5.5,4,8.25
1000190,Evelyn,5.4,5.17,,,,,7.5,5.5,7.5
1000191,Isabella,8.2,8,8,4.25,8.25,8,,,
1000192,Mia,8.2,7.75,9.6,,,,8,8.75,8.5
1000193,Lucas,8,8.5,7.4,,,,7,5.5,8.25
1000194,Ava,8.8,7.75,7.8,5,7.75,8.75,,,
1000195,James,8.4,8.5,7,,,,9.25,8.5,9
1000196,Samuel,7.6,9,7.4,,,,6.5,6.5,8
1000197,Henry,7.6,8,9,,,,8.75,7.75,8.75
1000198,Samuel,5.4,6.5,8.4,,,,8.5,7,9
1000199,Benjamin,8.6,7.5,9,7.5,8.25,4.75,,,
1000200,Abigail,7.6,6.25,8.4,7.5,6.25,4.25,,,
1000201,Elijah,6.6,6.5,6,,,,7.5,6.75,8
1000202,Amelia,8.4,8.5,8.4,,,,8.25,8.5,9.25
1000203,Sofia,6.6,7.25,4.8,,,,5,6,6.75
1000204,Harper,7.4,7.5,8,,,,7,7.25,9.5
